ID,Cluster
C1,Cluster-1
C10,Cluster-1
C11,Cluster-2
C12,Cluster-3
C13,Cluster-1
C14,Cluster-4
C15,Cluster-5
C16,Cluster-1
C17,Cluster-1
C18,Cluster-4
C19,Cluster-6
C2,Cluster-2
C20,Cluster-1
C21,Cluster-5
C22,Cluster-4
C23,Cluster-6
C24,Cluster-3
C25,Cluster-5
C26,Cluster-7
C27,Cluster-4
C28,Cluster-3
C29,Cluster-2
C3,Cluster-6
C30,Cluster-1
C31,Cluster-7
C32,Cluster-1
C33,Cluster-1
C34,Cluster-6
C35,Cluster-1
C36,Cluster-3
C37,Cluster-6
C38,Cluster-5
C39,Cluster-6
C4,Cluster-6
C40,Cluster-1
C41,Cluster-1
C42,Cluster-1
C43,Cluster-3
C44,Cluster-3
C45,Cluster-2
C46,Cluster-3
C47,Cluster-7
C48,Cluster-1
C49,Cluster-6
C5,Cluster-3
C50,Cluster-6
C51,Cluster-1
C52,Cluster-3
C53,Cluster-4
C54,Cluster-3
C55,Cluster-1
C56,Cluster-5
C57,Cluster-1
C58,Cluster-1
C59,Cluster-1
C6,Cluster-4
C60,Cluster-1
C61,Cluster-2
C62,Cluster-5
C63,Cluster-3
C64,Cluster-4
C65,Cluster-7
C66,Cluster-5
C67,Cluster-3
C68,Cluster-6
C69,Cluster-6
C7,Cluster-7
C70,Cluster-3
C71,Cluster-4
C72,Cluster-5
C73,Cluster-5
C74,Cluster-1
C75,Cluster-6
C76,Cluster-3
C77,Cluster-1
C78,Cluster-2
C79,Cluster-3
C8,Cluster-3
C80,Cluster-5
C81,Cluster-2
C82,Cluster-3
C83,Cluster-3
C84,Cluster-6
C85,Cluster-1
C86,Cluster-4
C87,Cluster-6
C9,Cluster-4
