ID,Cluster
T1,Cluster-1
T10,Cluster-2
T11,Cluster-1
T12,Cluster-2
T13,Cluster-2
T14,Cluster-3
T15,Cluster-3
T16,Cluster-4
T17,Cluster-2
T18,Cluster-5
T2,Cluster-1
T3,Cluster-1
T4,Cluster-5
T5,Cluster-5
T6,Cluster-4
T7,Cluster-4
T8,Cluster-3
T9,Cluster-2
