ID,Cluster
C1,Cluster-1
C10,Cluster-2
C11,Cluster-3
C12,Cluster-4
C13,Cluster-4
C14,Cluster-4
C15,Cluster-4
C16,Cluster-4
C17,Cluster-1
C18,Cluster-4
C19,Cluster-2
C2,Cluster-3
C20,Cluster-5
C21,Cluster-6
C22,Cluster-3
C23,Cluster-4
C24,Cluster-4
C25,Cluster-4
C26,Cluster-4
C27,Cluster-5
C28,Cluster-1
C29,Cluster-3
C3,Cluster-5
C30,Cluster-7
C31,Cluster-3
C32,Cluster-2
C33,Cluster-4
C34,Cluster-5
C35,Cluster-4
C36,Cluster-1
C37,Cluster-7
C38,Cluster-1
C39,Cluster-7
C4,Cluster-4
C40,Cluster-4
C41,Cluster-4
C42,Cluster-6
C43,Cluster-2
C44,Cluster-2
C45,Cluster-6
C46,Cluster-6
C47,Cluster-3
C48,Cluster-4
C49,Cluster-3
C5,Cluster-1
C50,Cluster-3
C51,Cluster-2
C52,Cluster-2
C53,Cluster-7
C54,Cluster-2
C55,Cluster-1
C56,Cluster-4
C57,Cluster-4
C58,Cluster-6
C59,Cluster-4
C6,Cluster-5
C60,Cluster-1
C61,Cluster-2
C62,Cluster-1
C63,Cluster-1
C64,Cluster-5
C65,Cluster-3
C66,Cluster-4
C67,Cluster-5
C68,Cluster-4
C69,Cluster-5
C7,Cluster-3
C70,Cluster-5
C71,Cluster-4
C72,Cluster-4
C73,Cluster-2
C74,Cluster-4
C75,Cluster-4
C76,Cluster-4
C77,Cluster-4
C78,Cluster-4
C79,Cluster-1
C8,Cluster-1
C80,Cluster-7
C81,Cluster-1
C82,Cluster-4
C83,Cluster-4
C84,Cluster-6
C85,Cluster-1
C86,Cluster-3
C87,Cluster-2
C9,Cluster-7
